nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,effet_coup,coor_balle_x,coor_balle_y,coor_balle_z,joueur_frappe,joueur_sur,distance_x_jA,distance_y_jA,zone_joueur_jA,distance_x_jB,distance_y_jB,zone_joueur_jB
ALEXIS-LEBRUN,30756,30786,garcon,coup_droit,4,att/att,serveur_point_pour,,intermediaire,,filet,flip,,,,ALEXIS-LEBRUN,FAN-ZHENDONG,12.56195068359375,-191.2298583984375,m5,-30.720458984375,213.45758056640625,g5
ALEXIS-LEBRUN,30928,30966,garcon,coup_droit,5,att/att,ALEXIS-LEBRUN,lat_droit,,d2,,,56.31844863891602,54.655898030598955,2,ALEXIS-LEBRUN,FAN-ZHENDONG,-67.72216796875,210.77716064453125,g5,138.12884521484375,-115.05316162109375,i3
FAN-ZHENDONG,30967,30983,garcon,revers,5,att/att,FAN-ZHENDONG,,defensif,d2,,poussette,-38.7506929397583,-49.22390530904134,2,FAN-ZHENDONG,ALEXIS-LEBRUN,81.70587158203125,168.45513916015625,e4,55.6185302734375,-203.61187744140625,g5
ALEXIS-LEBRUN,30984,30992,garcon,coup_droit,5,att/att,ALEXIS-LEBRUN,,offensif,d3,,flip,45.77486343383789,107.8655153910319,2,ALEXIS-LEBRUN,FAN-ZHENDONG,72.06317138671875,189.91253662109375,d5,61.39434814453125,-212.80892944335938,g5
FAN-ZHENDONG,30993,31016,garcon,coup_droit,5,att/att,serveur_point_pour,,intermediaire,,out,topspin,,,,FAN-ZHENDONG,ALEXIS-LEBRUN,43.16131591796875,239.392333984375,d6,-5.43280029296875,-164.42108154296875,m4
ALEXIS-LEBRUN,31456,31497,garcon,coup_droit,5,att/att,ALEXIS-LEBRUN,lat_droit,,d2,,,34.10138473510742,58.50947596232096,2,ALEXIS-LEBRUN,FAN-ZHENDONG,-63.80267333984375,223.6556396484375,g5,154.525634765625,-111.1826171875,i3
FAN-ZHENDONG,31498,31514,garcon,revers,5,att/att,FAN-ZHENDONG,,defensif,d2,,poussette,-25.55975971221924,-55.687493578592935,2,FAN-ZHENDONG,ALEXIS-LEBRUN,45.82275390625,176.66729736328125,d4,76.99456787109375,-215.86886596679688,h5
ALEXIS-LEBRUN,31515,31528,garcon,coup_droit,5,att/att,ALEXIS-LEBRUN,,defensif,d3,,poussette,50.094293212890626,95.28997065226237,2,ALEXIS-LEBRUN,FAN-ZHENDONG,42.95501708984375,202.2528076171875,d5,82.4674072265625,-228.65940856933594,h6
FAN-ZHENDONG,31529,31538,garcon,coup_droit,5,att/att,serveur_point_contre,,offensif,d2,pt_gagne,topspin,-39.16230983734131,-91.00159568786621,2,FAN-ZHENDONG,ALEXIS-LEBRUN,15.0321044921875,225.2049560546875,m5,34.7847900390625,-168.35736083984375,g4
FAN-ZHENDONG,31967,31995,garcon,coup_droit,5,att/att,FAN-ZHENDONG,lat_droit,,m2,,,-0.3293312072753906,-75.2330129623413,2,FAN-ZHENDONG,ALEXIS-LEBRUN,55.5142822265625,-223.082763671875,g5,-101.91766357421875,160.10040283203125,h4
ALEXIS-LEBRUN,31996,32008,garcon,coup_droit,5,att/att,ALEXIS-LEBRUN,,defensif,g3,,poussette,-29.29172706604004,101.60376917521158,2,ALEXIS-LEBRUN,FAN-ZHENDONG,70.0435791015625,-201.29302978515625,g5,-13.2879638671875,209.68597412109375,m5
FAN-ZHENDONG,32009,32019,garcon,revers,5,att/att,FAN-ZHENDONG,,offensif,g3,,topspin,63.57604217529297,-115.37455282211303,2,FAN-ZHENDONG,ALEXIS-LEBRUN,55.58978271484375,-208.98214721679688,g5,11.739990234375,214.7845458984375,m5
ALEXIS-LEBRUN,32020,32050,garcon,revers,5,att/att,serveur_point_pour,,intermediaire,,out,bloc,,,,ALEXIS-LEBRUN,FAN-ZHENDONG,111.519775390625,-257.18971252441406,h6,-63.60638427734375,251.7266845703125,g6
FAN-ZHENDONG,32555,32582,garcon,coup_droit,5,att/att,FAN-ZHENDONG,lat_droit,,m2,,,4.552240371704102,-79.01467491785685,2,FAN-ZHENDONG,ALEXIS-LEBRUN,85.31219482421875,-207.77127075195312,h5,-97.784423828125,164.21258544921875,h4
